feature,mean,std,min,p25,p50,p75,max
x_t,-1.754304861866,7.84373352727812,-17.6768670023848,-7.9639408842799,-2.70245525203221,3.63258597212035,19.5631112560912
y_t,-1.74655219480192,8.81467584729056,-23.5769798586876,-7.99047628014493,-2.1947391904187,3.19135756922432,27.1835717974992
z_t,24.1221694902088,8.07502856246168,0.961737022188421,18.076902218593,24.1300002025759,29.8989164503893,47.8343993629834
x_next,-1.74968092782203,7.8467827218419,-17.6768670023848,-7.9639408842799,-2.70245525203221,3.65611405904872,19.5631112560912
