model,step,cumulative_rmse
LSTM_Phase3_W20,137,12.956818090475982
LSTM_Phase3_W20,138,12.98219035574679
LSTM_Phase3_W20,139,13.009627074309952
LSTM_Phase3_W20,140,13.039522678876837
LSTM_Phase3_W20,141,13.072224525905382
LSTM_Phase3_W20,142,13.108026312087722
LSTM_Phase3_W20,143,13.147163207672888
LSTM_Phase3_W20,144,13.189809337200936
LSTM_Phase3_W20,145,13.236078230194067
LSTM_Phase3_W20,146,13.286026503281692
LSTM_Phase3_W20,147,13.339660573919332
LSTM_Phase3_W20,148,13.396945520753434
LSTM_Phase3_W20,149,13.457814695598847
LSTM_Phase3_W20,150,13.522178194456865
LSTM_Phase3_W20,151,13.589928244126666
LSTM_Phase3_W20,152,13.660939997270006
LSTM_Phase3_W20,153,13.735067069521564
LSTM_Phase3_W20,154,13.812132380494278
LSTM_Phase3_W20,155,13.89191598887945
LSTM_Phase3_W20,156,13.97414280318229
LSTM_Phase3_W20,157,14.058473179622313
LSTM_Phase3_W20,158,14.144499093234533
LSTM_Phase3_W20,159,14.231747307987185
LSTM_Phase3_W20,160,14.319689376618749
LSTM_Phase3_W20,161,14.407756956538483
LSTM_Phase3_W20,162,14.495360208103207
LSTM_Phase3_W20,163,14.581906824417612
LSTM_Phase3_W20,164,14.666819847259205
LSTM_Phase3_W20,165,14.749553142248498
LSTM_Phase3_W20,166,14.82960401902927
LSTM_Phase3_W20,167,14.906523112973842
LSTM_Phase3_W20,168,14.979921715937857
LSTM_Phase3_W20,169,15.049476890576535
LSTM_Phase3_W20,170,15.114934574094882
LSTM_Phase3_W20,171,15.176110732422158
LSTM_Phase3_W20,172,15.232890646924757
LSTM_Phase3_W20,173,15.28522632942503
LSTM_Phase3_W20,174,15.333132221763949
LSTM_Phase3_W20,175,15.37667942126368
LSTM_Phase3_W20,176,15.41598878625373
LSTM_Phase3_W20,177,15.45122334700798
LSTM_Phase3_W20,178,15.482580468422578
LSTM_Phase3_W20,179,15.510284184782806
LSTM_Phase3_W20,180,15.534577987595641
LSTM_Phase3_W20,181,15.555718324654658
LSTM_Phase3_W20,182,15.573968894182928
LSTM_Phase3_W20,183,15.589595743064557
LSTM_Phase3_W20,184,15.602863136292342
LSTM_Phase3_W20,185,15.614030038278115
LSTM_Phase3_W20,186,15.623347095059989
LSTM_Phase3_W20,187,15.631053945570493
LSTM_Phase3_W20,188,15.637376741475418
LSTM_Phase3_W20,189,15.642525783211308
LSTM_Phase3_W20,190,15.64669323423972
LSTM_Phase3_W20,191,15.650051005870823
LSTM_Phase3_W20,192,15.652748911686144
LSTM_Phase3_W20,193,15.654913302866442
LSTM_Phase3_W20,194,15.656646405237824
LSTM_Phase3_W20,195,15.658026510036725
LSTM_Phase3_W20,196,15.659109126883967
LSTM_Phase3_W20,197,15.659929039860682
LSTM_Phase3_W20,198,15.660503121972251
LSTM_Phase3_W20,199,15.660833634986895
LSTM_Phase3_W20,200,15.660911766657316
LSTM_Phase3_W20,201,15.660721141840138
LSTM_Phase3_W20,202,15.660241147043932
LSTM_Phase3_W20,203,15.659449955047357
LSTM_Phase3_W20,204,15.658327210489132
LSTM_Phase3_W20,205,15.656856358994888
LSTM_Phase3_W20,206,15.655026571972934
LSTM_Phase3_W20,207,15.652834225044037
LSTM_Phase3_W20,208,15.650283888241058
LSTM_Phase3_W20,209,15.647388795385211
LSTM_Phase3_W20,210,15.64417082444201
LSTM_Phase3_W20,211,15.640660079880682
LSTM_Phase3_W20,212,15.636894234365862
LSTM_Phase3_W20,213,15.632917798144089
LSTM_Phase3_W20,214,15.628781459492851
LSTM_Phase3_W20,215,15.624541609519422
LSTM_Phase3_W20,216,15.620260046443313
LSTM_Phase3_W20,217,15.616003804898996
LSTM_Phase3_W20,218,15.611844960100719
LSTM_Phase3_W20,219,15.607860242807607
LSTM_Phase3_W20,220,15.604130279246444
LSTM_Phase3_W20,221,15.600738299811574
LSTM_Phase3_W20,222,15.59776820901978
LSTM_Phase3_W20,223,15.595301961405166
LSTM_Phase3_W20,224,15.593416275050823
LSTM_Phase3_W20,225,15.592178766899687
LSTM_Phase3_W20,226,15.591643716634021
LSTM_Phase3_W20,227,15.59184772291239
LSTM_Phase3_W20,228,15.59280563707925
LSTM_Phase3_W20,229,15.59450723969394
LSTM_Phase3_W20,230,15.596915154738419
LSTM_Phase3_W20,231,15.599964508747801
LSTM_Phase3_W20,232,15.603564758070542
LSTM_Phase3_W20,233,15.607603908684068
LSTM_Phase3_W20,234,15.611955092268595
LSTM_Phase3_W20,235,15.616485154347835
LSTM_Phase3_W20,236,15.621064549952742
LSTM_Phase3_W20,237,15.625577608888339
LSTM_Phase3_W20,238,15.629932088721251
LSTM_Phase3_W20,239,15.634066956717312
LSTM_Phase3_W20,240,15.637957522318535
LSTM_Phase3_W20,241,15.641617312302493
LSTM_Phase3_W20,242,15.645096455415265
LSTM_Phase3_W20,243,15.648476685548655
LSTM_Phase3_W20,244,15.651863393072452
LSTM_Phase3_W20,245,15.655375442044269
LSTM_Phase3_W20,246,15.659133648183197
LSTM_Phase3_W20,247,15.663248975406441
LSTM_Phase3_W20,248,15.6678115197694
LSTM_Phase3_W20,249,15.672881281308493
LSTM_Phase3_W20,250,15.678481605406276
LSTM_Phase3_W20,251,15.68459586971683
LSTM_Phase3_W20,252,15.691167696062324
LSTM_Phase3_W20,253,15.698104584484106
LSTM_Phase3_W20,254,15.705284539477956
LSTM_Phase3_W20,255,15.712564962165155
LSTM_Phase3_W20,256,15.719792954611464
LSTM_Phase3_W20,257,15.726816095447957
LSTM_Phase3_W20,258,15.73349285697725
LSTM_Phase3_W20,259,15.739701913308616
LSTM_Phase3_W20,260,15.745349817817907
LSTM_Phase3_W20,261,15.750376649147087
LSTM_Phase3_W20,262,15.754759447356637
LSTM_Phase3_W20,263,15.758513360062185
LSTM_Phase3_W20,264,15.761690551491697
LSTM_Phase3_W20,265,15.764377022968985
LSTM_Phase3_W20,266,15.76668755997899
LSTM_Phase3_W20,267,15.768759088273411
LSTM_Phase3_W20,268,15.770742789344864
LSTM_Phase3_W20,269,15.772795370714997
LSTM_Phase3_W20,270,15.775069949320605
LSTM_Phase3_W20,271,15.777707053852685
LSTM_Phase3_W20,272,15.780826273861143
LSTM_Phase3_W20,273,15.784519103834514
LSTM_Phase3_W20,274,15.788843488680289
LSTM_Phase3_W20,275,15.79382047590057
LSTM_Phase3_W20,276,15.799433252667548
LSTM_Phase3_W20,277,15.80562860570323
LSTM_Phase3_W20,278,15.812320663637692
LSTM_Phase3_W20,279,15.819396526208571
LSTM_Phase3_W20,280,15.826723240192772
LSTM_Phase3_W20,281,15.834155452185756
LSTM_Phase3_W20,282,15.841543106794994
LSTM_Phase3_W20,283,15.848738582012185
LSTM_Phase3_W20,284,15.85560283689706
LSTM_Phase3_W20,285,15.862010267954068
LSTM_Phase3_W20,286,15.867852184759137
LSTM_Phase3_W20,287,15.873038919579097
LSTM_Phase3_W20,288,15.87750072067623
LSTM_Phase3_W20,289,15.881187631610535
LSTM_Phase3_W20,290,15.88406858132132
LSTM_Phase3_W20,291,15.886129924994577
LSTM_Phase3_W20,292,15.887373631091453
LSTM_Phase3_W20,293,15.887815291310545
LSTM_Phase3_W20,294,15.887482088915911
LSTM_Phase3_W20,295,15.88641081619492
LSTM_Phase3_W20,296,15.884646015307684
LSTM_Phase3_W20,297,15.882238277777102
LSTM_Phase3_W20,298,15.879242727603547
LSTM_Phase3_W20,299,15.875717680490633
LSTM_Phase3_W20,300,15.871723493696653
LSTM_Phase3_W20,301,15.867321580298967
LSTM_Phase3_W20,302,15.862573576408566
LSTM_Phase3_W20,303,15.857540643624562
LSTM_Phase3_W20,304,15.852282872329045
LSTM_Phase3_W20,305,15.84685877097432
LSTM_Phase3_W20,306,15.841324801935352
LSTM_Phase3_W20,307,15.835734939826425
LSTM_Phase3_W20,308,15.8301402193027
LSTM_Phase3_W20,309,15.824588264522012
LSTM_Phase3_W20,310,15.819122770177387
LSTM_Phase3_W20,311,15.81378295053791
LSTM_Phase3_W20,312,15.808602962829818
LSTM_Phase3_W20,313,15.803611344295819
LSTM_Phase3_W20,314,15.798830484636628
LSTM_Phase3_W20,315,15.794276186219285
LSTM_Phase3_W20,316,15.789957340226811
LSTM_Phase3_W20,317,15.78587573884811
LSTM_Phase3_W20,318,15.782026032829574
LSTM_Phase3_W20,319,15.778395814435726
LSTM_Phase3_W20,320,15.774965827962518
LSTM_Phase3_W20,321,15.771710282958184
LSTM_Phase3_W20,322,15.768597255346801
LSTM_Phase3_W20,323,15.765589181605186
LSTM_Phase3_W20,324,15.762643452073092
LSTM_Phase3_W20,325,15.759713092541608
LSTM_Phase3_W20,326,15.756747531809479
LSTM_Phase3_W20,327,15.75369344219764
LSTM_Phase3_W20,328,15.75049562014101
LSTM_Phase3_W20,329,15.747097882984207
LSTM_Phase3_W20,330,15.743443954779345
LSTM_Phase3_W20,331,15.739478328239654
LSTM_Phase3_W20,332,15.735147106252835
LSTM_Phase3_W20,333,15.730398837092437
LSTM_Phase3_W20,334,15.725185371395792
LSTM_Phase3_W20,335,15.719462765796203
LSTM_Phase3_W20,336,15.71319225795227
LSTM_Phase3_W20,337,15.706341302334877
LSTM_Phase3_W20,338,15.69888464636442
LSTM_Phase3_W20,339,15.690805379917464
LSTM_Phase3_W20,340,15.682095873318632
LSTM_Phase3_W20,341,15.672758504230766
LSTM_Phase3_W20,342,15.662806053467841
LSTM_Phase3_W20,343,15.652261694528896
LSTM_Phase3_W20,344,15.641158506183508
LSTM_Phase3_W20,345,15.629538512891374
LSTM_Phase3_W20,346,15.61745129893465
LSTM_Phase3_W20,347,15.604952292692257
LSTM_Phase3_W20,348,15.592100864856143
LSTM_Phase3_W20,349,15.578958401880445
LSTM_Phase3_W20,350,15.565586534413542
LSTM_Phase3_W20,351,15.55204566935736
LSTM_Phase3_W20,352,15.538393952514442
LSTM_Phase3_W20,353,15.524686714221675
LSTM_Phase3_W20,354,15.510976391030168
LSTM_Phase3_W20,355,15.49731284059968
LSTM_Phase3_W20,356,15.483743942238517
LSTM_Phase3_W20,357,15.470316360207033
LSTM_Phase3_W20,358,15.457076359470852
LSTM_Phase3_W20,359,15.444070570688046
LSTM_Phase3_W20,360,15.431346616020424
LSTM_Phase3_W20,361,15.41895347833907
LSTM_Phase3_W20,362,15.406941508130613
