model,step,state_error,cumulative_rmse
MATLAB_Residual_LSTM,1,0.197902830352956,0.197902830352956
MATLAB_Residual_LSTM,2,0.397596073773833,0.314044716674297
MATLAB_Residual_LSTM,3,0.600833591976135,0.431373455136429
MATLAB_Residual_LSTM,4,0.808079976099445,0.550282295999495
MATLAB_Residual_LSTM,5,1.0186725794197,0.670661799303267
MATLAB_Residual_LSTM,6,1.23101726743975,0.792079515995534
MATLAB_Residual_LSTM,7,1.44355979760216,0.914033810504022
MATLAB_Residual_LSTM,8,1.65512699520525,1.03607733890071
MATLAB_Residual_LSTM,9,1.86396834750049,1.15768101622513
MATLAB_Residual_LSTM,10,2.0696830951002,1.27849975096188
MATLAB_Residual_LSTM,11,2.27215460943776,1.39832050888606
MATLAB_Residual_LSTM,12,2.47185270925928,1.51707939029674
MATLAB_Residual_LSTM,13,2.67074029139944,1.63498323260426
MATLAB_Residual_LSTM,14,2.87116714124435,1.75244345689553
MATLAB_Residual_LSTM,15,3.07642145754025,1.87010127994961
MATLAB_Residual_LSTM,16,3.2898019159367,1.98874927097941
MATLAB_Residual_LSTM,17,3.51494669022858,2.1093186639053
MATLAB_Residual_LSTM,18,3.7541691377935,2.23271900450559
MATLAB_Residual_LSTM,19,4.00942902945805,2.35981863595834
MATLAB_Residual_LSTM,20,4.28076867011115,2.49129601116281
MATLAB_Residual_LSTM,21,4.56721772884259,2.62760613566044
MATLAB_Residual_LSTM,22,4.86640631949493,2.76892253867316
MATLAB_Residual_LSTM,23,5.17513837116271,2.91513711896511
MATLAB_Residual_LSTM,24,5.48934265218624,3.06585662626546
MATLAB_Residual_LSTM,25,5.80481230285352,3.22045518732331
MATLAB_Residual_LSTM,26,6.11663279145918,3.37807687121906
MATLAB_Residual_LSTM,27,6.42165621070237,3.5378072070922
MATLAB_Residual_LSTM,28,6.71701234975991,3.6987083191287
MATLAB_Residual_LSTM,29,7.00297956439948,3.8600256083623
MATLAB_Residual_LSTM,30,7.28332491958423,4.02136359586068
MATLAB_Residual_LSTM,31,7.56472043962557,4.18278326242496
MATLAB_Residual_LSTM,32,7.85424455139774,4.3447349887042
MATLAB_Residual_LSTM,33,8.15796747954271,4.50793086077877
MATLAB_Residual_LSTM,34,8.47828892304968,4.67310491431377
