model,RMSE_state,MAE_state,R2_mean,RMSE_x,MAE_x,R2_x,RMSE_y,MAE_y,R2_y,RMSE_z,MAE_z,R2_z
Imperfect physics,0.07856116271064342,0.0628440474823668,0.9999746656748476,0.0019328444345138914,0.0015461798437766336,0.9999999394015481,0.07849947780342628,0.06280170099466202,0.9999241344413524,0.0024397506900390425,0.001565651039334906,0.9999999231816423
Pure ML Residual MLP,0.010217464534804733,0.008779862767829147,0.9999995569528793,0.0022049312636895804,0.0015483424602428563,0.9999999211398066,0.0075951124881528395,0.006195311978492304,0.9999992898018355,0.006469090039155549,0.0045844098406538,0.9999994599169959
Hybrid RF,0.00032298243191269054,0.00021680122109113837,0.999999999571756,6.558383144542078e-06,4.4413659254996845e-06,0.9999999999993023,0.0003222467835155595,0.00021641132748566696,0.9999999987215366,2.0776175024322335e-05,1.0197999403694702e-05,0.9999999999944293
Hybrid MLP,0.0005738758176310097,0.00038943719441903514,0.99999999864755,1.593213816210402e-05,1.1534673888386327e-05,0.9999999999958826,0.0005710551234148508,0.0003829717874573672,0.9999999959851698,5.454967513095797e-05,4.0977364932076376e-05,0.9999999999615976
