model,step,cumulative_rmse
LSTM_Phase3_W10,1,0.522193883145606
LSTM_Phase3_W10,2,0.828792792400374
LSTM_Phase3_W10,3,1.13630383315726
LSTM_Phase3_W10,4,1.44513861859106
LSTM_Phase3_W10,5,1.75516307532628
LSTM_Phase3_W10,6,2.06611723609158
LSTM_Phase3_W10,7,2.37772421168977
LSTM_Phase3_W10,8,2.68974739083494
LSTM_Phase3_W10,9,3.00200582655412
LSTM_Phase3_W10,10,3.31439192603488
LSTM_Phase3_W10,11,3.6268818080283
LSTM_Phase3_W10,12,3.93953811241755
LSTM_Phase3_W10,13,4.25248918980051
LSTM_Phase3_W10,14,4.56590407903
LSTM_Phase3_W10,15,4.87996606031426
LSTM_Phase3_W10,16,5.19485182861881
LSTM_Phase3_W10,17,5.51070925792507
LSTM_Phase3_W10,18,5.82764526483235
LSTM_Phase3_W10,19,6.14569504436018
LSTM_Phase3_W10,20,6.4648128488574
LSTM_Phase3_W10,21,6.78485563254175
LSTM_Phase3_W10,22,7.1055762057544
LSTM_Phase3_W10,23,7.42662081159157
LSTM_Phase3_W10,24,7.74752848815982
LSTM_Phase3_W10,25,8.06773498002605
LSTM_Phase3_W10,26,8.38658235196329
LSTM_Phase3_W10,27,8.70333735210997
LSTM_Phase3_W10,28,9.01721066068395
LSTM_Phase3_W10,29,9.32737947926038
LSTM_Phase3_W10,30,9.63301098531929
LSTM_Phase3_W10,31,9.93328386565192
LSTM_Phase3_W10,32,10.2274202876929
LSTM_Phase3_W10,33,10.5147041723377
LSTM_Phase3_W10,34,10.7945028111909
LSTM_Phase3_W10,35,11.0662751513566
LSTM_Phase3_W10,36,11.3295796444288
LSTM_Phase3_W10,37,11.5840730410591
LSTM_Phase3_W10,38,11.8295026961711
LSTM_Phase3_W10,39,12.0656958910354
LSTM_Phase3_W10,40,12.2925459061444
LSTM_Phase3_W10,41,12.5099961668452
LSTM_Phase3_W10,42,12.7180249524062
LSTM_Phase3_W10,43,12.9166351917336
LSTM_Phase3_W10,44,13.1058442449059
LSTM_Phase3_W10,45,13.2856793532193
LSTM_Phase3_W10,46,13.4561740248118
LSTM_Phase3_W10,47,13.6173683419613
LSTM_Phase3_W10,48,13.7693112716133
LSTM_Phase3_W10,49,13.912062777714
LSTM_Phase3_W10,50,14.0456941776601
LSTM_Phase3_W10,51,14.170289057943
LSTM_Phase3_W10,52,14.2859434330069
LSTM_Phase3_W10,53,14.3927647958091
LSTM_Phase3_W10,54,14.4908712183658
LSTM_Phase3_W10,55,14.58039047916
LSTM_Phase3_W10,56,14.6614590232276
LSTM_Phase3_W10,57,14.7342223691071
LSTM_Phase3_W10,58,14.7988370472811
LSTM_Phase3_W10,59,14.8554721394754
LSTM_Phase3_W10,60,14.904312183283
LSTM_Phase3_W10,61,14.9455597202171
LSTM_Phase3_W10,62,14.9794375910663
LSTM_Phase3_W10,63,15.0061913918628
LSTM_Phase3_W10,64,15.0260904777801
LSTM_Phase3_W10,65,15.0394287563728
LSTM_Phase3_W10,66,15.0465229664381
LSTM_Phase3_W10,67,15.0477116903724
LSTM_Phase3_W10,68,15.0433521822102
LSTM_Phase3_W10,69,15.0338173166875
LSTM_Phase3_W10,70,15.0194912993429
LSTM_Phase3_W10,71,15.0007652576016
LSTM_Phase3_W10,72,14.9780331225832
LSTM_Phase3_W10,73,14.9516871401802
LSTM_Phase3_W10,74,14.9221135299258
LSTM_Phase3_W10,75,14.8896882332876
LSTM_Phase3_W10,76,14.8547738546801
LSTM_Phase3_W10,77,14.8177162066713
LSTM_Phase3_W10,78,14.7788421837992
LSTM_Phase3_W10,79,14.7384574271943
LSTM_Phase3_W10,80,14.6968447422725
LSTM_Phase3_W10,81,14.6542635036858
LSTM_Phase3_W10,82,14.6109490094476
LSTM_Phase3_W10,83,14.5671125447454
LSTM_Phase3_W10,84,14.5229418797454
LSTM_Phase3_W10,85,14.4786018484991
LSTM_Phase3_W10,86,14.4342357660905
LSTM_Phase3_W10,87,14.389966251439
LSTM_Phase3_W10,88,14.3458969903471
LSTM_Phase3_W10,89,14.3021141964649
LSTM_Phase3_W10,90,14.2586881329851
LSTM_Phase3_W10,91,14.2156743764678
LSTM_Phase3_W10,92,14.1731157993625
LSTM_Phase3_W10,93,14.1310438546249
LSTM_Phase3_W10,94,14.0894796574859
LSTM_Phase3_W10,95,14.0484350437754
LSTM_Phase3_W10,96,14.0079138074522
LSTM_Phase3_W10,97,13.967912712073
LSTM_Phase3_W10,98,13.9284216550113
LSTM_Phase3_W10,99,13.8894254629469
LSTM_Phase3_W10,100,13.8509035262281
LSTM_Phase3_W10,101,13.8128312554323
LSTM_Phase3_W10,102,13.7751805014382
LSTM_Phase3_W10,103,13.7379199787582
LSTM_Phase3_W10,104,13.701016217846
LSTM_Phase3_W10,105,13.6644342228164
LSTM_Phase3_W10,106,13.6281386789198
LSTM_Phase3_W10,107,13.5920945177628
LSTM_Phase3_W10,108,13.5562684076244
LSTM_Phase3_W10,109,13.5206296059335
LSTM_Phase3_W10,110,13.4851511385215
LSTM_Phase3_W10,111,13.4498112505176
LSTM_Phase3_W10,112,13.4145945197319
LSTM_Phase3_W10,113,13.3794933692724
LSTM_Phase3_W10,114,13.3445093821432
LSTM_Phase3_W10,115,13.3096545362265
LSTM_Phase3_W10,116,13.2749527959031
LSTM_Phase3_W10,117,13.2404411612335
LSTM_Phase3_W10,118,13.2061710421922
LSTM_Phase3_W10,119,13.172209063391
LSTM_Phase3_W10,120,13.1386380795956
LSTM_Phase3_W10,121,13.1055576286065
LSTM_Phase3_W10,122,13.0730842064989
LSTM_Phase3_W10,123,13.0413510461977
LSTM_Phase3_W10,124,13.0105075211032
LSTM_Phase3_W10,125,12.9807182291904
LSTM_Phase3_W10,126,12.9521614504136
LSTM_Phase3_W10,127,12.9250275558062
LSTM_Phase3_W10,128,12.8995167544787
LSTM_Phase3_W10,129,12.8758368063395
LSTM_Phase3_W10,130,12.8542004643514
LSTM_Phase3_W10,131,12.8348227486566
LSTM_Phase3_W10,132,12.8179176645743
LSTM_Phase3_W10,133,12.8036951739686
LSTM_Phase3_W10,134,12.7923581311141
LSTM_Phase3_W10,135,12.7840986363065
LSTM_Phase3_W10,136,12.7790944033456
LSTM_Phase3_W10,137,12.777505522184
LSTM_Phase3_W10,138,12.7794707685414
LSTM_Phase3_W10,139,12.7851036727193
LSTM_Phase3_W10,140,12.7944894849507
LSTM_Phase3_W10,141,12.8076817423954
LSTM_Phase3_W10,142,12.824699364923
LSTM_Phase3_W10,143,12.8455241458893
LSTM_Phase3_W10,144,12.8700987914743
LSTM_Phase3_W10,145,12.8983263571104
LSTM_Phase3_W10,146,12.9300695789179
LSTM_Phase3_W10,147,12.9651524651333
LSTM_Phase3_W10,148,13.0033618633771
LSTM_Phase3_W10,149,13.0444503000017
LSTM_Phase3_W10,150,13.0881407759462
LSTM_Phase3_W10,151,13.134131329721
LSTM_Phase3_W10,152,13.1821011319469
LSTM_Phase3_W10,153,13.2317173953536
LSTM_Phase3_W10,154,13.2826421432317
LSTM_Phase3_W10,155,13.3345381985656
LSTM_Phase3_W10,156,13.3870764780763
LSTM_Phase3_W10,157,13.4399417949963
LSTM_Phase3_W10,158,13.4928390247448
LSTM_Phase3_W10,159,13.5454963451949
LSTM_Phase3_W10,160,13.597668870146
LSTM_Phase3_W10,161,13.6491408286176
LSTM_Phase3_W10,162,13.6997283522914
LSTM_Phase3_W10,163,13.7492782444886
LSTM_Phase3_W10,164,13.7976686568492
LSTM_Phase3_W10,165,13.8448089964168
LSTM_Phase3_W10,166,13.890637252919
LSTM_Phase3_W10,167,13.9351188853648
LSTM_Phase3_W10,168,13.9782453069215
LSTM_Phase3_W10,169,14.0200312533938
LSTM_Phase3_W10,170,14.0605128272774
LSTM_Phase3_W10,171,14.0997447104224
LSTM_Phase3_W10,172,14.1377981672846
LSTM_Phase3_W10,173,14.17475791903
LSTM_Phase3_W10,174,14.2107206381836
LSTM_Phase3_W10,175,14.2457914087654
LSTM_Phase3_W10,176,14.2800824112112
LSTM_Phase3_W10,177,14.3137091964028
LSTM_Phase3_W10,178,14.3467895953458
LSTM_Phase3_W10,179,14.3794405824944
LSTM_Phase3_W10,180,14.4117763907351
LSTM_Phase3_W10,181,14.4439073846374
LSTM_Phase3_W10,182,14.4759375563707
LSTM_Phase3_W10,183,14.5079632625529
LSTM_Phase3_W10,184,14.5400727856351
LSTM_Phase3_W10,185,14.5723446239354
LSTM_Phase3_W10,186,14.6048466408944
LSTM_Phase3_W10,187,14.6376350277664
LSTM_Phase3_W10,188,14.670753824279
LSTM_Phase3_W10,189,14.7042339921265
LSTM_Phase3_W10,190,14.7380930148719
LSTM_Phase3_W10,191,14.7723337899311
LSTM_Phase3_W10,192,14.8069436493313
LSTM_Phase3_W10,193,14.8418949428614
LSTM_Phase3_W10,194,14.8771443749738
LSTM_Phase3_W10,195,14.9126331055613
LSTM_Phase3_W10,196,14.9482868504866
LSTM_Phase3_W10,197,14.9840174547469
LSTM_Phase3_W10,198,15.0197236718602
LSTM_Phase3_W10,199,15.0552937738345
LSTM_Phase3_W10,200,15.0906080400805
LSTM_Phase3_W10,201,15.1255422954378
LSTM_Phase3_W10,202,15.159971698375
LSTM_Phase3_W10,203,15.1937743641719
LSTM_Phase3_W10,204,15.226835374552
LSTM_Phase3_W10,205,15.259050545872
LSTM_Phase3_W10,206,15.2903295320946
LSTM_Phase3_W10,207,15.3205983396404
LSTM_Phase3_W10,208,15.3498008528156
LSTM_Phase3_W10,209,15.3778992796762
LSTM_Phase3_W10,210,15.4048738058344
LSTM_Phase3_W10,211,15.4307209832878
LSTM_Phase3_W10,212,15.4554510373872
LSTM_Phase3_W10,213,15.4790857704442
LSTM_Phase3_W10,214,15.501654179809
LSTM_Phase3_W10,215,15.5231886983595
LSTM_Phase3_W10,216,15.5437215318052
LSTM_Phase3_W10,217,15.5632808221315
LSTM_Phase3_W10,218,15.5818874936278
LSTM_Phase3_W10,219,15.5995525563451
LSTM_Phase3_W10,220,15.6162751961977
LSTM_Phase3_W10,221,15.6320418299393
LSTM_Phase3_W10,222,15.6468263368631
LSTM_Phase3_W10,223,15.6605912171914
LSTM_Phase3_W10,224,15.6732900196382
LSTM_Phase3_W10,225,15.6848696886025
LSTM_Phase3_W10,226,15.6952742576597
LSTM_Phase3_W10,227,15.7044482147283
LSTM_Phase3_W10,228,15.7123399390612
LSTM_Phase3_W10,229,15.7189045915267
LSTM_Phase3_W10,230,15.7241067229808
LSTM_Phase3_W10,231,15.7279221392478
LSTM_Phase3_W10,232,15.7303391109561
LSTM_Phase3_W10,233,15.7313590497604
LSTM_Phase3_W10,234,15.7309967077741
LSTM_Phase3_W10,235,15.7292799785943
LSTM_Phase3_W10,236,15.7262493161728
LSTM_Phase3_W10,237,15.7219572401827
LSTM_Phase3_W10,238,15.7164675763516
LSTM_Phase3_W10,239,15.7098545201665
LSTM_Phase3_W10,240,15.7022017400069
LSTM_Phase3_W10,241,15.6936011738578
LSTM_Phase3_W10,242,15.6841514875659
LSTM_Phase3_W10,243,15.6739563261842
LSTM_Phase3_W10,244,15.6631220168538
