Model,RMSE,MAE,R2
Persistence,2.15144046416391,1.77784004249852,0.924745490447946
Linear Regression,0.538349939153904,0.44810801474542,0.99528802257357
Random Forest,0.0912629743652894,0.0640218766805774,0.999864586144883
MLP,0.0137706994525281,0.0108334922905434,0.999996916912402
