model,step,cumulative_rmse
LSTM_Phase3_W50,1,0.531338164233282
LSTM_Phase3_W50,2,0.835012356486516
LSTM_Phase3_W50,3,1.14135977037667
LSTM_Phase3_W50,4,1.45592157884984
LSTM_Phase3_W50,5,1.78283055215566
LSTM_Phase3_W50,6,2.12545170832792
LSTM_Phase3_W50,7,2.48618732343131
LSTM_Phase3_W50,8,2.86639020926938
LSTM_Phase3_W50,9,3.26622938422201
LSTM_Phase3_W50,10,3.68461206145911
LSTM_Phase3_W50,11,4.11919043121827
LSTM_Phase3_W50,12,4.56662785741858
LSTM_Phase3_W50,13,5.02294401334255
LSTM_Phase3_W50,14,5.48406664479439
LSTM_Phase3_W50,15,5.94639043996453
LSTM_Phase3_W50,16,6.40715105639186
LSTM_Phase3_W50,17,6.86473010901602
LSTM_Phase3_W50,18,7.31864767149954
LSTM_Phase3_W50,19,7.76941273012285
LSTM_Phase3_W50,20,8.2097009473041
LSTM_Phase3_W50,21,8.62592088613873
LSTM_Phase3_W50,22,9.02010653341213
LSTM_Phase3_W50,23,9.39373734694113
LSTM_Phase3_W50,24,9.74795943566364
LSTM_Phase3_W50,25,10.0836359551509
LSTM_Phase3_W50,26,10.4013443009867
LSTM_Phase3_W50,27,10.7014294252486
LSTM_Phase3_W50,28,10.9840756114784
LSTM_Phase3_W50,29,11.2494031509261
LSTM_Phase3_W50,30,11.4975530427499
LSTM_Phase3_W50,31,11.7287983779124
LSTM_Phase3_W50,32,11.943610760092
LSTM_Phase3_W50,33,12.1427470524201
LSTM_Phase3_W50,34,12.3273111178678
LSTM_Phase3_W50,35,12.498835509888
LSTM_Phase3_W50,36,12.6587763085703
LSTM_Phase3_W50,37,12.8075444124061
LSTM_Phase3_W50,38,12.9463125211664
LSTM_Phase3_W50,39,13.0773053581005
LSTM_Phase3_W50,40,13.1951573033907
LSTM_Phase3_W50,41,13.2996707486765
LSTM_Phase3_W50,42,13.3946708754291
LSTM_Phase3_W50,43,13.4845866692578
LSTM_Phase3_W50,44,13.5744078273156
LSTM_Phase3_W50,45,13.6696761357632
LSTM_Phase3_W50,46,13.7765888721599
LSTM_Phase3_W50,47,13.9021150564201
LSTM_Phase3_W50,48,14.0541409912856
LSTM_Phase3_W50,49,14.217381767522
LSTM_Phase3_W50,50,14.390726018421
LSTM_Phase3_W50,51,14.5711870291621
LSTM_Phase3_W50,52,14.7598631650534
LSTM_Phase3_W50,53,14.9554437902301
LSTM_Phase3_W50,54,15.1565486730173
LSTM_Phase3_W50,55,15.3625592635179
LSTM_Phase3_W50,56,15.5727816227248
LSTM_Phase3_W50,57,15.7791729960777
LSTM_Phase3_W50,58,15.977847144227
LSTM_Phase3_W50,59,16.1692993112906
LSTM_Phase3_W50,60,16.3541503412161
LSTM_Phase3_W50,61,16.5328274099829
LSTM_Phase3_W50,62,16.7056583217595
LSTM_Phase3_W50,63,16.8729202629098
LSTM_Phase3_W50,64,17.0336300168326
LSTM_Phase3_W50,65,17.1876809248091
LSTM_Phase3_W50,66,17.3354236493643
LSTM_Phase3_W50,67,17.4771890640255
LSTM_Phase3_W50,68,17.6133041442519
LSTM_Phase3_W50,69,17.7441277408821
LSTM_Phase3_W50,70,17.8700934452115
LSTM_Phase3_W50,71,17.9917699958542
LSTM_Phase3_W50,72,18.1099329067509
LSTM_Phase3_W50,73,18.2256627535395
LSTM_Phase3_W50,74,18.3404684499571
LSTM_Phase3_W50,75,18.4564426372026
LSTM_Phase3_W50,76,18.5764446854582
LSTM_Phase3_W50,77,18.7042905632299
LSTM_Phase3_W50,78,18.8448910660432
LSTM_Phase3_W50,79,18.989854578047
LSTM_Phase3_W50,80,19.1309998695445
LSTM_Phase3_W50,81,19.2697246724896
LSTM_Phase3_W50,82,19.4076827697913
LSTM_Phase3_W50,83,19.5467236186831
LSTM_Phase3_W50,84,19.6870777536206
LSTM_Phase3_W50,85,19.8262104624166
LSTM_Phase3_W50,86,19.9562619322786
LSTM_Phase3_W50,87,20.0744566585183
LSTM_Phase3_W50,88,20.1814316432952
LSTM_Phase3_W50,89,20.2782992676695
LSTM_Phase3_W50,90,20.3664809434886
LSTM_Phase3_W50,91,20.4475551635073
LSTM_Phase3_W50,92,20.5231024889674
