x_t,y_t,z_t,x_next
1.0,1.0,1.0,1.2876104088612448
1.003193917939574,1.129852855533296,0.9920503012827785,1.3459253827158801
1.0125682067113078,1.2599461238216811,0.9848896941728668,1.4096485679636614
1.0278532080139462,1.3910891134438068,0.9785589129092825,1.4788924886844543
1.0488309608097175,1.5240544992312464,0.9731123457420008,1.5537977012830084
1.0753310586985465,1.659584922172831,0.9686179214139614,1.6345319592276841
1.1072270166126525,1.798399025510316,0.965157343592246,1.7212895459367232
1.144433094245255,1.9411969878944255,0.9628266424632023,1.8142907534283876
1.1869015359394461,2.0886655950274653,0.9617370222693078,1.9137814847158554
1.2346201812415685,2.241482901205977,0.9620159938532808,2.020032957823478
1.2876104088612448,2.4003225191920454,0.9638087889407341,2.133341488704569
1.3459253827158801,2.5658575647611532,0.9672800585657687,2.2540283292128027
1.4096485679636614,2.738764283056403,0.9726158650184074,2.3824395345581872
1.4788924886844543,2.9197253755023134,0.9800259820523349,2.518945832298566
1.5537977012830084,3.1094330386684654,0.9897465227927057,2.663942461817448
1.6345319592276841,3.3085917197664827,1.0020429194250775,2.8178489493494348
1.7212895459367232,3.5179205861723384,1.017213283139164,2.9811087788530064
1.8142907534283876,3.7381556983888657,1.0355921769335643,3.154188913440228
1.9137814847158554,3.970051867090163,1.0575548377357344,3.3375791147866116
2.020032957823478,4.214384165173044,1.0835218878430906,3.5317910005824076
2.133341488704569,4.4719490548639325,1.1139645789245602,3.737356770114742
2.2540283292128027,4.7435650776172675,1.149410614628551,3.954827517260036
2.3824395345581872,5.0300730405204295,1.1904505999836459,4.184771037944267
2.518945832298566,5.332335616948651,1.237745166935178,4.427769025115054
2.663942461817448,5.651236261040236,1.2920328251958502,4.684413528701201
2.8178489493494348,5.987677314892635,1.3541385857013752,4.955302540921583
2.9811087788530064,6.3425771639477215,1.4249833997177606,5.241034548819199
3.154188913440228,6.716866270848228,1.5055944471436074,5.542201876375177
3.3375791147866116,7.111481883664711,1.5971163062200324,5.859382618563789
3.5317910005824076,7.52736118677402,1.7008230073164181,6.193130950099009
3.737356770114742,7.96543262183771,1.8181309595720598,6.543965573623844
3.954827517260036,8.426605065376558,1.9506127089012129,6.91235605740194
4.184771037944267,8.911754506986744,2.100011443203762,7.298706803467835
4.427769025115054,9.421707825645253,2.2682561092356455,7.70333838667524
4.684413528701201,9.957223214217665,2.4574769384971833,8.12646601699684
4.955302540921583,10.518966755710316,2.6700210945703233,8.568174906569935
5.241034548819199,11.10748461183943,2.9084680482189706,9.028392375147476
5.542201876375177,11.723170249178844,3.1756441556600534,9.506856609564778
5.859382618563789,12.36622610609644,3.474635756075776,10.003082112121874
6.193130950099009,13.036619102386416,3.808799913300895,10.516322037393088
6.543965573623844,13.734029422684882,4.181771701029125,11.045527834693962
6.91235605740194,14.457792076774261,4.597466669516272,11.58930689086661
7.298706803467835,15.206830870066565,5.060076835486389,12.14587920895889
7.70333838667524,15.979584624453373,5.574058210044,12.713034558712408
8.12646601699684,16.773925795053767,6.144107531138345,13.28809199813507
8.568174906569935,17.587072056585445,6.775125513805631,13.867864169157132
9.028392375147476,18.415492009975576,7.472163598688369,14.448629229492745
9.506856609564778,19.254806910481168,8.240350904780534,15.026113819071664
10.003082112121874,20.099691263757077,9.084797928013792,15.59549072398115
10.516322037393088,20.94377628726529,10.010473541788462,16.151395150372032
11.045527834693962,21.779561585775298,11.022052135146298,16.687963429752852
11.58930689086661,22.59834190974693,12.12372837246128,17.198897475830982
12.14587920895889,23.390157482535027,13.318998192117139,17.67755741023097
12.713034558712408,24.143778005896753,14.610406339759983,18.117083585110805
13.28809199813507,24.846731870531183,15.99926322473902,18.510547061224152
13.867864169157132,25.48539292826401,17.485337206851565,18.85112566848997
