model_stage,one_step_rmse,one_step_r2,final_rollout_rmse
Baseline LSTM（绝对状态预测）,0.0404893911220894,0.998345162182538,16.4811959906638
Phase 1：残差预测 + LayerNorm + 裁剪,0.026018865048216,0.99931663986099,1618.02278625533
Phase 2：多步损失 + Scheduled Sampling,0.019217989209961,0.999627188898926,179.56614154752
