step,cumulative_rmse
1,0.177433890841584
2,0.352949596241456
3,0.526567853136467
4,0.698309174282552
5,0.868193850678303
6,1.03624195396231
7,1.2024733387846
8,1.36690764515243
9,1.52956430075075
10,1.69046252323753
11,1.8496213225143
12,2.00705950297217
13,2.16279566571352
14,2.3168482107497
15,2.46923533917496
16,2.6199750553169
17,2.76908516886366
18,2.91658329696805
19,3.06248686632909
20,3.20681311525087
21,3.34957909567926
22,3.49080167521659
23,3.63049753911452
24,3.76868319224535
25,3.9053749610521
26,4.04058899547743
27,4.17434127087172
28,4.30664758988056
29,4.43752358431181
30,4.56698471698245
31,4.69504628354552
32,4.82172341429727
33,4.94703107596477
34,5.07098407347422
35,5.19359705170015
36,5.31488449719565
37,5.43486073990397
38,5.55353995485156
39,5.67093616382287
40,5.78706323701695
41,5.90193489468622
42,6.0155647087575
43,6.12796610443554
44,6.23915236178914
45,6.34913661732018
46,6.45793186551572
47,6.56555096038324
48,6.67200661696935
49,6.77731141286204
50,6.88147778967669
51,6.98451805452608
52,7.08644438147438
53,7.18726881297559
54,7.28700326129626
55,7.38565950992296
56,7.48324921495445
57,7.57978390647886
58,7.67527498993593
59,7.76973374746456
60,7.86317133923576
61,7.95559880477125
62,8.04702706424772
63,8.13746691978706
64,8.22692905673259
65,8.31542404491157
66,8.40296233988395
67,8.4895542841777
68,8.5752101085108
69,8.65993993299994
70,8.7437537683562
71,8.82666151706785
72,8.90867297457025
73,8.98979783040321
74,9.07004566935579
75,9.14942597259873
76,9.2279481188046
77,9.30562138525593
78,9.38245494894129
79,9.45845788763953
80,9.53363918099229
81,9.60800771156499
82,9.68157226589624
83,9.75434153553596
84,9.8263241180723
85,9.89752851814743
86,9.96796314846233
87,10.0376363307708
88,10.1065562968624
89,10.1747311895357
90,10.2421690635593
91,10.3088778866246
92,10.3748655402862
93,10.4401398208939
94,10.5047084405132
95,10.5685790278369
96,10.6317591290862
97,10.6942562089022
98,10.7560776512283
99,10.8172307601818
100,10.8777227609178
101,10.9375608004822
102,10.9967519486561
103,11.0553031987915
104,11.1132214686374
105,11.1705136011569
106,11.2271863653359
107,11.2832464569827
108,11.3387004995193
109,11.3935550447639
110,11.4478165737048
111,11.5014914972662
112,11.5545861570659
113,11.6071068261642
114,11.6590597098052
115,11.7104509461499
116,11.7612866070016
117,11.811572698523
118,11.8613151619459
119,11.9105198742734
120,11.9591926489738
121,12.0073392366679
122,12.0549653258082
123,12.102076543351
124,12.1486784554211
125,12.1947765679699
126,12.2403763274252
127,12.2854831213353
128,12.3301022790053
129,12.3742390721267
130,12.4178987154003
131,12.4610863671523
132,12.5038071299438
133,12.5460660511736
134,12.5878681236746
135,12.6292182863035
136,12.6701214245247
137,12.7105823709871
138,12.7506059060954
139,12.7901967585746
140,12.829359606029
141,12.8680990754947
142,12.9064197439862
143,12.9443261390371
144,12.9818227392355
145,13.0189139747526
146,13.0556042278663
147,13.0918978334792
148,13.1277990796303
149,13.1633122080019
150,13.198441414421
151,13.2331908493544
152,13.2675646183996
153,13.3015667827696
154,13.3352013597731
155,13.3684723232886
156,13.4013836042341
157,13.4339390910318
158,13.4661426300674
159,13.4979980261441
160,13.5295090429329
161,13.5606794034165
162,13.5915127903298
163,13.6220128465946
164,13.6521831757502
165,13.6820273423792
166,13.7115488725283
167,13.7407512541253
168,13.7696379373911
169,13.7982123352472
170,13.826477823719
171,13.8544377423346
172,13.8820953945198
173,13.9094540479876
174,13.936516935125
175,13.9632872533746
176,13.9897681656121
177,14.0159628005207
178,14.0418742529601
179,14.0675055843323
180,14.0928598229437
181,14.1179399643622
182,14.1427489717718
183,14.1672897763223
184,14.1915652774755
185,14.2155783433484
186,14.2393318110511
187,14.2628284870231
188,14.2860711473638
189,14.3090625381614
190,14.3318053758167
191,14.3543023473644
192,14.3765561107905
193,14.3985692953463
194,14.4203445018588
195,14.4418843030385
196,14.463191243783
197,14.4842678414778
198,14.5051165862936
199,14.5257399414806
200,14.5461403436597
201,14.56632020311
202,14.5862819040539
203,14.6060278049386
204,14.6255602387149
205,14.6448815131127
206,14.6639939109138
207,14.6828996902214
208,14.7016010847271
209,14.7201003039747
210,14.7383995336212
211,14.7565009356952
212,14.7744066488523
213,14.7921187886275
