step,cumulative_rmse
1,0.07361353995590524
2,0.11858874513014897
3,0.1647886309397549
4,0.2121173970704418
5,0.26041832955417454
6,0.309547931668128
7,0.35938878243638533
8,0.40984647579968286
9,0.46084292869249494
10,0.5123100757263748
11,0.5641846483728924
12,0.6164050417418067
13,0.6689100245373601
14,0.7216392629065314
15,0.7745355987698752
16,0.8275483758606683
17,0.8806377422696468
18,0.9337793661064856
19,0.9869690268240601
20,1.0402266560960016
21,1.0935992651498192
22,1.1471628831508818
23,1.2010231082173277
24,1.255314342455299
25,1.3101978571126853
26,1.3658590507457744
27,1.4225041350259666
28,1.4803563089620797
29,1.5396520307941348
30,1.6006373590871406
31,1.663564446804702
32,1.7286884881561475
33,1.7962647991321523
34,1.8665460864138947
35,1.939779941342872
36,2.0162063727049286
37,2.0960553251633924
38,2.1795443306928806
39,2.2668760527657668
40,2.358235946767068
41,2.453789969393719
42,2.553682322664224
43,2.6580331634459395
44,2.76693624561075
45,2.880456387564511
46,2.9986267400844793
47,3.1214456759930096
48,3.248873306313264
49,3.3808277003881426
50,3.517180696996896
51,3.6577536070651373
52,3.8023127484145594
53,3.9505651677120133
54,4.102154781908664
55,4.256659543644501
56,4.413590175729763
57,4.572391574772406
58,4.732447804744497
59,4.893091603827439
60,5.053618873753777
61,5.213307635374906
62,5.371440046960922
63,5.527324812598958
64,5.680317035050115
65,5.8298328166160625
66,5.975357083743416
67,6.116445006869458
68,6.25271906985142
69,6.383864626515515
70,6.509626421169089
71,6.629807240930592
72,6.74426827056539
73,6.8529295903237495
74,6.9557691143190725
75,7.052819038235034
76,7.144159678469702
77,7.229911578375061
78,7.31022717504196
79,7.385283172412838
80,7.455274635828892
81,7.520411105439704
82,7.5809148815644765
83,7.637021167422269
84,7.688979589756019
85,7.737056629829923
86,7.781538368692794
87,7.82273312587786
88,7.860973511078715
89,7.896617571446151
90,7.930048787176032
91,7.961674763571572
92,7.991924595318916
93,8.021244952514019
94,8.050095076950498
95,8.078940937039443
96,8.108248859244863
97,8.138478994853907
98,8.170078920638666
99,8.203477714189454
100,8.23908069802664
101,8.277264954756536
102,8.318375698108218
103,8.362723442083622
104,8.410581850939389
105,8.462186162527711
106,8.517731989533935
107,8.577374403758085
108,8.641227175106241
109,8.709362120396245
110,8.781808558724228
111,8.858552953167466
112,8.93953881497463
113,9.024667060312256
114,9.113796968030522
115,9.206747909816292
116,9.303301960908763
117,9.403207464950441
118,9.50618348116207
119,9.6119249743748
120,9.720108493517662
121,9.830398039459427
122,9.942450748798594
123,10.055922112871876
124,10.170470460336025
125,10.285760583767134
126,10.401466459774658
127,10.517273192950926
128,10.632878343868999
129,10.74799283990484
130,10.862341735576003
131,10.975665001198571
132,11.087718532526605
133,11.198275378704412
134,11.307127290172962
135,11.414086491815615
136,11.518987573245587
137,11.621689401096361
138,11.722076870134261
139,11.820062395971355
140,11.915586990938703
141,12.008620861232504
142,12.099163498532983
143,12.187243195107374
144,12.272916073933096
145,12.356264667909976
146,12.437396120245849
147,12.516440138465452
148,12.59354677489695
149,12.668884064478867
150,12.74263562680676
151,12.814998188438759
152,12.886179000048358
153,12.956393132512984
154,13.02586052849077
155,13.094802801398508
156,13.16343978712099
157,13.231985863506402
158,13.300646147002384
159,13.36961273358103
160,13.439061109336022
161,13.509146936481178
162,13.580003318788798
163,13.651738614374734
164,13.724434732216658
165,13.798145779847918
166,13.872896841768412
167,13.948682631702697
168,14.025465795508861
169,14.103174737943302
170,14.18170097310414
171,14.260896231767756
172,14.34056975665372
173,14.420486344548243
174,14.500365794252362
175,14.579884441936345
176,14.65867927604924
177,14.736354982823645
178,14.812493884371897
179,14.886668346155746
180,14.958454873617429
181,15.027448824167616
