step,cumulative_rmse
1,0.0814380105032374
2,0.12896547465460154
3,0.17655040458141866
4,0.22436951200507818
5,0.27249557049171996
6,0.32097515832581847
7,0.36985681406368576
8,0.4192024050217283
9,0.4690908636065073
10,0.5196174312950943
11,0.570891253774324
12,0.6230323824768035
13,0.6761684022616347
14,0.7304312754422998
15,0.7859550058970268
16,0.8428738182021855
17,0.9013212280602447
18,0.9614298005025196
19,1.0233315899908482
20,1.0871590817176287
21,1.1530459693174004
22,1.2211277037594457
23,1.29154140277595
24,1.3644248396074383
25,1.4399143689628655
26,1.518141831025872
27,1.5992308369989197
28,1.6832922616716972
29,1.770419868479193
30,1.8606863927543753
31,1.9541403362179024
32,2.050804043668889
33,2.1506729048908917
34,2.2537159513321163
35,2.3598773964865876
36,2.46907869875236
37,2.5812206393463724
38,2.6961849052868634
39,2.8138347478958985
40,2.934014488741554
41,3.0565480636633224
42,3.1812370615867263
43,3.3078587679913465
44,3.4361648953488437
45,3.5658815453473975
46,3.696710566663495
47,3.8283322431651703
48,3.9604088876566745
49,4.092588879416258
50,4.224510778374585
51,4.3558072735227995
52,4.486109264983737
53,4.615050356341386
54,4.7422724673448275
55,4.867432901936958
56,4.990213236646429
57,5.1103298263713
58,5.227545250159075
59,5.341679745736564
60,5.452621236645813
61,5.5603325505201875
62,5.664854922906672
63,5.766306953720633
64,5.864879296904945
65,5.960825886267458
66,6.054453183648766
67,6.146109231800309
68,6.236174384096305
69,6.325054957498214
70,6.413180412557814
71,6.501003516727746
72,6.589001933186276
73,6.677678998657848
74,6.767560958117008
75,6.859188474311507
76,6.9531009594419615
77,7.049813872687067
78,7.149790795464758
79,7.253413296716128
80,7.360952583576834
81,7.472546897773884
82,7.588187789803819
83,7.70771684108471
84,7.830833025585133
85,7.957109437816853
86,8.086017266950476
87,8.21695435867443
88,8.349276044403945
89,8.482326030682348
90,8.615465816628967
91,8.74810139072039
92,8.879706534943416
93,9.009842282079846
94,9.138172288731832
95,9.264474028805958
96,9.388645799948227
97,9.510709602401885
98,9.630809970743801
99,9.74920888765943
100,9.866276858257516
101,9.982480226105075
102,10.098364917468043
103,10.21453672791883
104,10.331638453076216
105,10.45032433992668
106,10.57123258060971
107,10.694956912780468
108,10.822018698515876
109,10.952841022946574
110,11.087726574581664
111,11.22684077654992
112,11.370201461895586
113,11.517675825437076
114,11.668984726091292
115,11.823713853262902
116,11.981330781902336
117,12.141206519256615
118,12.302640250758706
119,12.464885770152836
120,12.62717829765659
121,12.788760435207273
122,12.948906108544161
123,13.106941438216914
124,13.262261611518685
125,13.414343149769397
126,13.562751183341941
127,13.707141843385292
128,13.847260217198233
129,13.982934581745083
130,14.114067932940628
131,14.24062778893507
132,14.362635309331347
133,14.480154675606396
134,14.593283389210164
135,14.702143965075004
136,14.806877307229081
137,14.907637671097312
138,15.004589066485888
139,15.097902758032726
140,15.187755469318235
141,15.2743279509881
142,15.357803617913975
143,15.438367007700863
144,15.516202016175471
145,15.59148984420412
146,15.664406731737811
147,15.735121569655243
148,15.803793521707561
149,15.870569750958383
150,15.935583424882124
151,15.998952019335547
152,16.060776091363014
153,16.12113849867387
154,16.180104138512842
155,16.2377202012948
156,16.29401689766619
157,16.3490087002914
158,16.40269595945999
159,16.455066933481255
160,16.50610009921297
161,16.555766704963403
162,16.604033506014783
163,16.650865601349725
164,16.69622928812794
165,16.740094882957983
166,16.7824394060791
167,16.823249076613543
168,16.862521516949776
169,16.90026760624943
170,16.936512880406998
171,16.971298456946872
172,17.004681391321995
173,17.036734480282497
174,17.067545502130965
175,17.09721595046208
176,17.125859326092215
177,17.15359911397019
178,17.18056655010996
179,17.206898342298384
180,17.232734422244484
181,17.258215856413507
182,17.28348297192677
183,17.30867371888288
184,17.333922312365207
185,17.35935812761177
186,17.385104856348295
187,17.411279911253335
188,17.437994051945218
189,17.46535120121384
190,17.493448380792405
191,17.522375716019628
192,17.552216424605824
193,17.583046811225486
194,17.614936226832384
195,17.64794712088967
196,17.68213527319454
197,17.717550305493628
198,17.754236596065205
199,17.792234583560422
200,17.831582408231338
201,17.87231777525287
202,17.91447987381516
203,17.958111143066926
204,18.003258739718003
205,18.049975562042285
206,18.09832073315516
207,18.148359546796762
208,18.200162843924353
209,18.253805895788854
210,18.309366823988466
211,18.366924690355937
212,18.426557286012418
213,18.48833875265555
214,18.55233705111529
215,18.61861138796722
216,18.687209572451742
217,18.758165281869076
218,18.831495244510034
219,18.90719625344194
220,18.985242078980658
221,19.065580352789645
222,19.148129667398635
223,19.23277721153311
224,19.319377420739112
225,19.407752115676107
226,19.497692424187658
227,19.58896271934918
228,19.68130629999092
229,19.774452456515842
230,19.868124191555175
231,19.962045986148226
232,20.05595106940753
233,20.149588052446273
234,20.24272710653413
235,20.335166221433848
236,20.4267382732253
237,20.5173192022376
238,20.606836989405412
239,20.695279546600013
240,20.782698225224426
241,20.869202796851873
242,20.954944833724056
243,21.040089769351273
244,21.12478249860502
245,21.20911484901397
246,21.293103065785544
247,21.376680101732806
248,21.459702742884886
249,21.541969916183955
250,21.623246711061803
251,21.703288537666044
252,21.781860781656007
253,21.858750796348914
254,21.933771387317506
255,22.006757634210857
256,22.07756163942164
257,22.146051122779784
258,22.21211596480218
259,22.275682248455436
260,22.336728514373828
261,22.3952973467586
262,22.45149757678217
263,22.50549649784898
264,22.55750462137802
265,22.60775679939368
266,22.65649317819004
267,22.703942416822635
268,22.750308595300197
269,22.79576236831466
270,22.840436417787608
271,22.8844247379399
272,22.927784987908467
273,22.970542871829732
274,23.012697295293112
275,23.05422510955536
276,23.09508448014986
277,23.135216552993406
278,23.174545787490548
279,23.212980056892444
280,23.25041192052922
281,23.28672219950388
282,23.321786240790814
283,23.355482289667982
284,23.387700765784697
285,23.41835313490049
286,23.447379443434713
287,23.4747541068418
288,23.500490045892256
289,23.524641458018106
290,23.54730560596978
291,23.56862391750217
292,23.588782559329744
293,23.60801257813832
294,23.626589606517868
