step,cumulative_rmse
1,0.0500567001196936
2,0.0812098396450719
3,0.114680760260459
4,0.151363347579055
5,0.192062596017528
6,0.237524857708891
7,0.288325970591217
8,0.344872387542564
9,0.407365599056798
10,0.475800078736688
11,0.549943695405987
12,0.62934019769322
13,0.713310120529098
14,0.800980593549458
15,0.891308600704863
16,0.983125812618941
17,1.07522109168411
18,1.16641249449988
19,1.25564173493164
20,1.34206602015979
21,1.42513257998263
22,1.50462949614229
23,1.58068232644867
24,1.6537117998158
25,1.72434863931571
26,1.79331732672138
27,1.86130516188564
28,1.92885727767326
29,1.99627787034006
30,2.06360004869354
31,2.13057099720283
32,2.19668367991982
33,2.26123725133548
34,2.32342224575441
35,2.3824120443201
36,2.43746294780377
37,2.48799680146386
38,2.53367903915427
39,2.57446568792927
40,2.61062149295732
41,2.64270952405639
42,2.67155083837273
43,2.69815874833651
44,2.72364743210782
45,2.74913627679817
46,2.77566136998926
47,2.80409892976609
48,2.83511060182611
49,2.86912267382855
50,2.90634681970535
51,2.9468241430314
52,2.98809762305316
53,3.03071460678039
54,3.07574272456003
55,3.12398938757693
56,3.17565582861903
57,3.23096527383718
58,3.29008198063598
59,3.35302204552156
60,3.41958058178047
61,3.48930583714227
62,3.56153163766479
63,3.6354471230758
64,3.71019863084784
65,3.78497616615945
66,3.85907816143961
67,3.93194089814521
68,4.00314469586478
69,4.07239822790192
70,4.1395220737493
71,4.2044286496684
72,4.2671104383756
73,4.32762531204778
74,4.38609192893179
75,4.44268481225825
76,4.49762997444567
77,4.55120313325995
78,4.60372561688092
79,4.65555912168984
80,4.70709665310456
81,4.75874973376831
82,4.81093776903799
83,4.86406725970092
84,4.91851485490391
85,4.97460782552837
86,5.03260095255469
87,5.09266089972245
88,5.15485169591245
89,5.21912473667353
90,5.28531714112494
91,5.35315525719511
92,5.42227338890734
93,5.49223109390448
94,5.56254585760167
95,5.63272600597382
96,5.70230629296537
97,5.77087657332351
98,5.83811053974398
99,5.90378237538364
100,5.96777448942823
101,6.03007645452339
102,6.09077855513407
103,6.15006171994705
104,6.20819050940828
105,6.26551118013076
106,6.32244889465077
107,6.3795090446301
108,6.43725599273453
109,6.4962785742403
110,6.55713324293815
111,6.62029133148652
112,6.68610398709786
113,6.75479496703368
114,6.82648245569459
115,6.90120419463491
116,6.97893671342533
117,7.05959791088807
118,7.14304190612908
119,7.22905553388391
120,7.31736538313597
121,7.4076572884081
122,7.49960582010447
123,7.59290189493191
124,7.68727506809518
125,7.78250767563025
126,7.8784372023381
127,7.97494852729505
128,8.07196065151979
129,8.16940757372783
130,8.26721659683963
131,8.36528974525947
132,8.46348603780804
133,8.56161157140381
134,8.65941487462373
135,8.75659009871621
136,8.8527910145351
137,8.94765032140074
138,9.04002208432472
139,9.1300309053583
140,9.21772957435275
141,9.30291282180253
142,9.38545544906651
143,9.46531293264428
144,9.54252236266036
145,9.61719266838676
146,9.68949279267727
147,9.75963254404879
148,9.82784303224721
149,9.89435838059912
150,9.95939636423068
151,10.0231416249084
152,10.0857363262316
153,10.1472755630622
154,10.2078076651611
155,10.2673391661103
156,10.3258438840743
157,10.383271868531
158,10.4395598463071
159,10.4946390999589
160,10.5484427444876
